team,stadium,city,state,lat,long
Atlanta Braves,CoolToday Park,North Port,FL,27.0326324,-82.3192395
Boston Red Sox,JetBlue Park,Fort Myers,FL,26.5512581,-81.7618295
Baltimore Orioles,Ed Smith Stadium,Sarasota,FL,27.3477068,-82.5171253
Detroit Tigers,Joker Marchant Stadium,Lakeland,FL,28.074499,-81.9510297
Houston Astros,Fitteam Ballpark of the Palm Beaches,West Palm Beach,FL,26.7550434,-80.112931
Miami Marlins,Roger Dean Stadium,Jupiter,FL,26.8904732,-80.1172481
Minnesota Twins,Hammond Stadium,Fort Myers,FL,26.5380064,-81.8413127
New York Mets,Clover Park,Port St. Lucie,FL,27.3251157,-80.4045971
New York Yankees,Steinbrenner Field,Tampa,FL,27.9797239,-82.5076636
Philadelphia Phillies,BayCare Ballpark,Clearwater,FL,27.9709213,-82.7317194
Pittsburgh Pirates,LECOM Park,Bradenton,FL,27.4855904,-82.5704953
St. Louis Cardinals,Roger Dean Stadium,Jupiter,FL,26.8904732,-80.1172481
Tampa Bay Rays,Charlotte Sports Park,Port Charlotte,FL,26.9990783,-82.181805
Toronto Blue Jays,TD Ballpark,Dunedin,FL,28.0041015,-82.7872801
Washington Nationals,Fitteam Ballpark of the Palm Beaches,West Palm Beach,FL,26.7550434,-80.112931
Arizona Diamondbacks,Salt River Field at Talking Stick,Salt River Pima-Maricopa Indian Community,AZ,33.5453415,-111.8851324
Chicago Cubs,Sloan Park,Mesa,AZ,33.4311077,-111.881787
Chicago White Sox,Camelback Ranch,Glendale,AZ,33.5140994,-112.2958463
Cincinnati Reds,Goodyear Ballpark,Goodyear,AZ,33.4291755,-112.3899889
Cleveland Guardians,Goodyear Ballpark,Goodyear,AZ,33.4291755,-112.3899889
Colorado Rockies,Salt River Field at Talking Stick,Salt River Pima-Maricopa Indian Community,AZ,33.5453415,-111.8851324
Kansas City Royals,Surprise Stadium,Surprise,AZ,33.6278741,-112.3782029
Los Angeles Angels,Tempe Diablo Stadium,Tempe,AZ,33.4007815,-111.9709335
Los Angeles Dodgers,Camelback Ranch,Glendale,AZ,33.5140994,-112.2958463
Milwaukee Brewers,Maryvale Baseball Park,Phoenix,AZ,33.492228,-112.1723735
Oakland Athletics,HoHoKam Stadium,Mesa,AZ,33.4385825,-111.8294729
San Diego Padres,Peoria Sports Complex,Peoria,AZ,33.6320953,-112.2332781
San Francisco Giants,Scottsdale Stadium,Scottsdale,AZ,33.4889347,-111.9207196
Seattle Mariners,Peoria Sports Complex,Peoria,AZ,33.6320953,-112.2332781
Texas Rangers,Surprise Stadium,Surprise,AZ,33.6278741,-112.3782029